user_id,date,step_count,points,step_count_cumulative,points_cumulative,rank
69f22f79aa356a55e37b9e40,2026-05-02,4496,4496,8090,8090,12.0
69f22f79aa356a55e37b9e40,2026-05-03,7367,7367,15457,15457,23.0
69f22f79aa356a55e37b9e40,2026-05-04,6657,6657,22114,22114,23.0
69f22f79aa356a55e37b9e40,2026-05-05,10195,12695,32309,34809,23.0
69f22f79aa356a55e37b9e40,2026-05-06,11767,14267,44076,49076,23.0
69f23d7a970ac0c0fcf90323,2026-05-01,18046,20546,18046,20546,4.0
69f23d7a970ac0c0fcf90323,2026-05-03,15393,17893,33439,38439,10.0
69f23d7a970ac0c0fcf90323,2026-05-04,15818,18318,49257,56757,6.0
69f23d7a970ac0c0fcf90323,2026-05-05,12301,14801,61558,71558,6.0
69f23d7a970ac0c0fcf90323,2026-05-06,22366,24866,83924,96424,3.0
69f23d7a970ac0c0fcf90323,2026-05-07,430,430,84354,96854,2.0
69f241b5502370e40381bc41,2026-05-01,8747,8747,8747,8747,16.0
69f241b5502370e40381bc41,2026-05-02,15476,17976,24223,26723,5.0
69f241b5502370e40381bc41,2026-05-03,14614,17114,38837,43837,5.0
69f241b5502370e40381bc41,2026-05-04,4245,4245,43082,48082,13.0
69f241b5502370e40381bc41,2026-05-05,7651,7651,50733,55733,17.0
69f241b5502370e40381bc41,2026-05-06,6476,6476,57209,62209,20.0
69f241b5502370e40381bc41,2026-05-07,226,226,57435,62435,15.0
69f30bc9c97850d243ab1bf6,2026-05-01,11748,14248,11748,14248,9.0
69f30bc9c97850d243ab1bf6,2026-05-03,10052,12552,21800,26800,18.0
69f30bc9c97850d243ab1bf6,2026-05-04,10257,12757,32057,39557,18.0
69f30bc9c97850d243ab1bf6,2026-05-05,10615,13115,42672,52672,21.0
69f30bc9c97850d243ab1bf6,2026-05-06,10180,12680,52852,65352,17.0
69f30bc9c97850d243ab1bf6,2026-05-07,227,227,53079,65579,12.0
69f31188beb49a0351b32c55,2026-05-01,10020,12520,10020,12520,15.0
69f31188beb49a0351b32c55,2026-05-02,14915,17415,24935,29935,3.0
69f31188beb49a0351b32c55,2026-05-03,11812,14312,36747,44247,4.0
69f31188beb49a0351b32c55,2026-05-04,14438,16938,51185,61185,5.0
69f31188beb49a0351b32c55,2026-05-05,6043,6043,57228,67228,10.0
69f31188beb49a0351b32c55,2026-05-06,12876,15376,70104,82604,9.0
69f31e869fd9cf05b86e59d5,2026-05-01,21896,24396,21896,24396,2.0
69f31e869fd9cf05b86e59d5,2026-05-02,24786,27286,46682,51682,1.0
69f31e869fd9cf05b86e59d5,2026-05-03,19659,22159,66341,73841,1.0
69f31e869fd9cf05b86e59d5,2026-05-04,24066,26566,90407,100407,1.0
69f31e869fd9cf05b86e59d5,2026-05-05,25681,28181,116088,128588,1.0
69f31e869fd9cf05b86e59d5,2026-05-06,38375,40875,154463,169463,1.0
69f3844ac97850d243ab49df,2026-05-01,5547,5547,5547,5547,19.0
69f3844ac97850d243ab49df,2026-05-02,7351,7351,12898,12898,11.0
69f3844ac97850d243ab49df,2026-05-03,19275,21775,32173,34673,12.0
69f3844ac97850d243ab49df,2026-05-04,9737,9737,41910,44410,16.0
69f3844ac97850d243ab49df,2026-05-05,11563,14063,53473,58473,15.0
69f3844ac97850d243ab49df,2026-05-06,6732,6732,60205,65205,18.0
69f3844ac97850d243ab49df,2026-05-07,29,29,60234,65234,13.0
69f467b65c6eab5bef83ce90,2026-05-01,7374,7374,7374,7374,18.0
69f467b65c6eab5bef83ce90,2026-05-02,13912,16412,21286,23786,7.0
69f467b65c6eab5bef83ce90,2026-05-03,7399,7399,28685,31185,16.0
69f467b65c6eab5bef83ce90,2026-05-04,7449,7449,36134,38634,21.0
69f467b65c6eab5bef83ce90,2026-05-05,13654,16154,49788,54788,18.0
69f467b65c6eab5bef83ce90,2026-05-06,9204,9204,58992,63992,19.0
69f467b65c6eab5bef83ce90,2026-05-07,415,415,59407,64407,14.0
69f85b21469fa77a88d3f486,2026-05-01,11320,13820,11320,13820,10.0
69f85b21469fa77a88d3f486,2026-05-03,10320,12820,21640,26640,19.0
69f85b21469fa77a88d3f486,2026-05-04,10424,12924,32064,39564,17.0
69f85b21469fa77a88d3f486,2026-05-05,10694,13194,42758,52758,20.0
69f85b21469fa77a88d3f486,2026-05-06,11742,14242,54500,67000,16.0
69f85b21469fa77a88d3f486,2026-05-07,202,202,54702,67202,11.0
