user_id,date,step_count,points,step_count_cumulative,points_cumulative,rank
6630e7c2cac295000171851e,2025-05-02,14578,17078,14578,17078,16.0
6630e7c2cac295000171851e,2025-05-03,17884,20384,32462,37462,11.0
6630e7c2cac295000171851e,2025-05-04,11231,13731,43693,51193,12.0
6630e7c2cac295000171851e,2025-05-05,10402,12902,54095,64095,11.0
6630e7c2cac295000171851e,2025-05-07,20268,22768,74363,86863,14.0
6630e7c2cac295000171851e,2025-05-08,3703,3703,78066,90566,14.0
6630e7c2cac295000171851e,2025-05-09,10877,13377,88943,103943,14.0
6630e7c2cac295000171851e,2025-05-10,18378,20878,107321,124821,14.0
6630e7c2cac295000171851e,2025-05-11,10476,12976,117797,137797,12.0
6630e7c2cac295000171851e,2025-05-12,13661,16161,131458,153958,13.0
6630e7c2cac295000171851e,2025-05-13,23905,26405,155363,180363,8.0
6630e7c2cac295000171851e,2025-05-14,29664,32164,185027,212527,6.0
6630e7c2cac295000171851e,2025-05-15,19765,22265,204792,234792,5.0
6630e7c2cac295000171851e,2025-05-16,10428,12928,215220,247720,6.0
6630e7c2cac295000171851e,2025-05-17,18996,21496,234216,269216,6.0
6630e7c2cac295000171851e,2025-05-18,18608,21108,252824,290324,6.0
6630e7c2cac295000171851e,2025-05-19,16687,19187,269511,309511,6.0
6630e7c2cac295000171851e,2025-05-20,19109,21609,288620,331120,5.0
6630e7c2cac295000171851e,2025-05-21,24755,27255,313375,358375,4.0
6630e7c2cac295000171851e,2025-05-22,12860,15360,326235,373735,4.0
6630e7c2cac295000171851e,2025-05-23,22225,24725,348460,398460,4.0
6630e7c2cac295000171851e,2025-05-24,19328,21828,367788,420288,4.0
6630e7c2cac295000171851e,2025-05-25,19583,22083,387371,442371,4.0
6630e7c2cac295000171851e,2025-05-26,16238,18738,403609,461109,4.0
6630e7c2cac295000171851e,2025-05-27,17647,20147,421256,481256,4.0
6630e7c2cac295000171851e,2025-05-28,11737,14237,432993,495493,4.0
6630e7c2cac295000171851e,2025-05-29,18242,20742,451235,516235,4.0
6630e7c2cac295000171851e,2025-05-30,15802,18302,467037,534537,4.0
6630e7c2cac295000171851e,2025-05-31,15040,17540,482077,552077,4.0
6630e84dcac2950001718560,2025-05-01,16821,19321,16821,19321,9.0
6630e84dcac2950001718560,2025-05-02,12937,15437,29758,34758,7.0
6630e84dcac2950001718560,2025-05-04,14093,16593,43851,51351,11.0
6630e84dcac2950001718560,2025-05-05,12565,15065,56416,66416,8.0
6630e84dcac2950001718560,2025-05-06,10304,12804,66720,79220,12.0
6630e84dcac2950001718560,2025-05-07,10146,12646,76866,91866,11.0
6630e84dcac2950001718560,2025-05-09,6868,6868,83734,98734,15.0
6630e84dcac2950001718560,2025-05-10,24977,27477,108711,126211,13.0
6630e84dcac2950001718560,2025-05-11,6254,6254,114965,132465,13.0
6630e84dcac2950001718560,2025-05-12,9112,9112,124077,141577,14.0
6630e84dcac2950001718560,2025-05-13,5155,5155,129232,146732,15.0
6630e84dcac2950001718560,2025-05-15,23325,25825,152557,172557,14.0
6630e84dcac2950001718560,2025-05-16,8371,8371,160928,180928,13.0
6630e84dcac2950001718560,2025-05-17,15195,17695,176123,198623,15.0
6630e84dcac2950001718560,2025-05-18,6056,6056,182179,204679,18.0
6630e84dcac2950001718560,2025-05-19,6216,6216,188395,210895,17.0
6630e84dcac2950001718560,2025-05-20,20415,22915,208810,233810,13.0
6630e84dcac2950001718560,2025-05-21,7588,7588,216398,241398,15.0
6630e84dcac2950001718560,2025-05-22,13423,15923,229821,257321,13.0
6630e84dcac2950001718560,2025-05-23,4614,4614,234435,261935,15.0
6630e84dcac2950001718560,2025-05-24,8951,8951,243386,270886,16.0
6630e84dcac2950001718560,2025-05-25,7861,7861,251247,278747,15.0
6630e84dcac2950001718560,2025-05-26,6670,6670,257917,285417,13.0
6630e84dcac2950001718560,2025-05-27,7746,7746,265663,293163,17.0
6630e84dcac2950001718560,2025-05-28,11855,14355,277518,307518,16.0
