user_id,date,step_count,points
6630e7c2cac295000171851e,2025-05-02,14578,17078
6630e7c2cac295000171851e,2025-05-03,17884,20384
6630e7c2cac295000171851e,2025-05-04,11231,13731
6630e7c2cac295000171851e,2025-05-05,10402,12902
6630e7c2cac295000171851e,2025-05-07,20268,22768
6630e7c2cac295000171851e,2025-05-08,3703,3703
6630e7c2cac295000171851e,2025-05-09,10877,13377
6630e7c2cac295000171851e,2025-05-10,18378,20878
6630e7c2cac295000171851e,2025-05-11,10476,12976
6630e7c2cac295000171851e,2025-05-12,13661,16161
6630e7c2cac295000171851e,2025-05-13,23905,26405
6630e7c2cac295000171851e,2025-05-14,29664,32164
6630e7c2cac295000171851e,2025-05-15,19765,22265
6630e7c2cac295000171851e,2025-05-16,10428,12928
6630e7c2cac295000171851e,2025-05-17,18996,21496
6630e7c2cac295000171851e,2025-05-18,18608,21108
6630e7c2cac295000171851e,2025-05-19,16687,19187
6630e7c2cac295000171851e,2025-05-20,19109,21609
6630e7c2cac295000171851e,2025-05-21,24755,27255
6630e7c2cac295000171851e,2025-05-22,12860,15360
6630e7c2cac295000171851e,2025-05-23,22225,24725
6630e7c2cac295000171851e,2025-05-24,19328,21828
6630e7c2cac295000171851e,2025-05-25,19583,22083
6630e7c2cac295000171851e,2025-05-26,16238,18738
6630e7c2cac295000171851e,2025-05-27,17647,20147
6630e7c2cac295000171851e,2025-05-28,11737,14237
6630e7c2cac295000171851e,2025-05-29,18242,20742
6630e7c2cac295000171851e,2025-05-30,15802,18302
6630e7c2cac295000171851e,2025-05-31,15040,17540
6630e84dcac2950001718560,2025-05-01,16821,19321
6630e84dcac2950001718560,2025-05-02,12937,15437
6630e84dcac2950001718560,2025-05-04,14093,16593
6630e84dcac2950001718560,2025-05-05,12565,15065
6630e84dcac2950001718560,2025-05-06,10304,12804
6630e84dcac2950001718560,2025-05-07,10146,12646
6630e84dcac2950001718560,2025-05-09,6868,6868
6630e84dcac2950001718560,2025-05-10,24977,27477
6630e84dcac2950001718560,2025-05-11,6254,6254
6630e84dcac2950001718560,2025-05-12,9112,9112
6630e84dcac2950001718560,2025-05-13,5155,5155
6630e84dcac2950001718560,2025-05-15,23325,25825
6630e84dcac2950001718560,2025-05-16,8371,8371
6630e84dcac2950001718560,2025-05-17,15195,17695
6630e84dcac2950001718560,2025-05-18,6056,6056
6630e84dcac2950001718560,2025-05-19,6216,6216
6630e84dcac2950001718560,2025-05-20,20415,22915
6630e84dcac2950001718560,2025-05-21,7588,7588
6630e84dcac2950001718560,2025-05-22,13423,15923
6630e84dcac2950001718560,2025-05-23,4614,4614
6630e84dcac2950001718560,2025-05-24,8951,8951
6630e84dcac2950001718560,2025-05-25,7861,7861
6630e84dcac2950001718560,2025-05-26,6670,6670
6630e84dcac2950001718560,2025-05-27,7746,7746
6630e84dcac2950001718560,2025-05-28,11855,14355
6630e84dcac2950001718560,2025-05-29,11744,14244
6630e84dcac2950001718560,2025-05-30,7275,7275
6630e84dcac2950001718560,2025-05-31,14594,17094
6630e85ecac295000171856a,2025-05-01,10624,13124
6630e85ecac295000171856a,2025-05-02,10988,13488
6630e85ecac295000171856a,2025-05-03,14816,17316
6630e85ecac295000171856a,2025-05-04,5862,5862
6630e85ecac295000171856a,2025-05-05,13061,15561
6630e85ecac295000171856a,2025-05-06,16017,18517
6630e85ecac295000171856a,2025-05-07,10704,13204
6630e85ecac295000171856a,2025-05-08,10240,12740
6630e85ecac295000171856a,2025-05-09,10888,13388
6630e85ecac295000171856a,2025-05-10,17736,20236
6630e85ecac295000171856a,2025-05-11,12179,14679
6630e85ecac295000171856a,2025-05-12,12896,15396
6630e85ecac295000171856a,2025-05-13,12751,15251
6630e85ecac295000171856a,2025-05-14,12930,15430
6630e85ecac295000171856a,2025-05-15,12039,14539
6630e85ecac295000171856a,2025-05-16,10545,13045
6630e85ecac295000171856a,2025-05-17,16060,18560
6630e85ecac295000171856a,2025-05-18,22312,24812
6630e85ecac295000171856a,2025-05-19,11567,14067
6630e85ecac295000171856a,2025-05-20,11150,13650
6630e85ecac295000171856a,2025-05-21,3617,3617
6630e85ecac295000171856a,2025-05-22,16879,19379
6630e85ecac295000171856a,2025-05-23,6363,6363
6630e85ecac295000171856a,2025-05-24,7470,7470
6630e85ecac295000171856a,2025-05-25,15145,17645
6630e85ecac295000171856a,2025-05-26,4012,4012
6630e85ecac295000171856a,2025-05-27,7742,7742
